ts_code,trade_date,open,high,close,low,vol
513130.SH,20220901,0.559,0.567,0.554,0.553,6667691.9
513130.SH,20220902,0.558,0.559,0.548,0.544,5342511.84
513130.SH,20220905,0.544,0.544,0.54,0.534,7820000.7
513130.SH,20220906,0.542,0.544,0.54,0.534,5652375
513130.SH,20220907,0.531,0.537,0.536,0.528,7042936.19
513130.SH,20220908,0.538,0.54,0.53,0.53,4486500.37
513130.SH,20220909,0.532,0.544,0.541,0.528,7304041.37
513130.SH,20220913,0.544,0.545,0.54,0.54,3173346
513130.SH,20220914,0.53,0.531,0.527,0.524,6308246
513130.SH,20220915,0.527,0.53,0.526,0.524,4386142.94
513130.SH,20220916,0.525,0.527,0.519,0.519,5923151
513130.SH,20220919,0.512,0.513,0.507,0.504,7140621
513130.SH,20220920,0.513,0.52,0.517,0.512,6649884
513130.SH,20220921,0.511,0.512,0.505,0.504,7452041
513130.SH,20220922,0.49,0.498,0.491,0.487,13307158
513130.SH,20220923,0.49,0.494,0.487,0.484,8526978
513130.SH,20220926,0.481,0.498,0.488,0.481,10340780
513130.SH,20220927,0.491,0.497,0.496,0.486,9805150
513130.SH,20220928,0.492,0.493,0.483,0.483,9323361
513130.SH,20220929,0.491,0.492,0.473,0.47,10405802
513130.SH,20220930,0.474,0.476,0.463,0.46,11553493
513130.SH,20221010,0.463,0.466,0.458,0.457,7408218
513130.SH,20221011,0.458,0.459,0.45,0.447,10860336
513130.SH,20221012,0.446,0.461,0.456,0.432,22467586
513130.SH,20221013,0.447,0.448,0.437,0.436,23582258
513130.SH,20221014,0.442,0.454,0.443,0.441,25284212.72
513130.SH,20221017,0.434,0.438,0.437,0.428,23373979.76
513130.SH,20221018,0.449,0.453,0.452,0.441,22552088.18
513130.SH,20221019,0.451,0.453,0.441,0.44,15401263.72
513130.SH,20221020,0.426,0.438,0.429,0.421,32605953.07
513130.SH,20221021,0.431,0.435,0.428,0.426,19625776.25
513130.SH,20221024,0.413,0.422,0.395,0.394,54614736.14
